name
Carbon sequestration project
Sabla women's empowerment
Neer project (EY supported)
Water conservation project in Chattarpur (HDBFS supported)
Natural farming projects (NCNF)
Biwal project (supported by Indus Ind Bank)
Udaan project (supported by Bajaj Fin. Serv)
Eco tourism project in Radhapur village (supported by MPTB + NABARD)
Poor Sapling project for individual farmers (supported by GiveIndia)
Solar lighting Project with support of (Signify Innovations)
Totapari Mango saplings plantation with Tribal farmers Project (With support of Coca-cola India Foundation)
